"","text","emotion","polarity"
"1","cnmpa from indonesian navy tnial th squadron flying low near kri semarangto help…","joy","negative"
"2","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"3","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"4","that jacket <U+0001F494><U+0001F62D> sriwijayaair sj","neutral","positive"
"5","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"6","trigger warning plane crash 

sending our prayers and deepest condolences to the passengers and crew of sj as well…","neutral","negative"
"7","there isnt any word to say just wanna better condition for my beloved indonesia
sj 
prayforkalsel…","neutral","positive"
"8","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"9","full video ramalan mbak you november

sj prayforsj prayforsriwijaya","neutral","positive"
"10","twplane crash 

as we all know recently on the th of jan sriwijaya air with flight number sj lost contact four…","neutral","negative"
"11","sneeuw sj sjy cdupt handeercel fenerbahcemesutoluyor 
look like comment and s…","joy","positive"
"12","the search for answers on sriwijaya air flight sj","neutral","negative"
"13","<U+0001F60D>need mascot logo for twitchchannel

<U+0001F449>visit here


…","neutral","positive"
"14","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"15","our hearts are heavy for the victims of the sj crash earthquake in sulawesi landslide in sumedang and flooding in…","neutral","positive"
"16","twplane crash

we have cancelled todays hashtag trending for sehuns debut anniversary to pay respect to victims of…","joy","neutral"
"17","our hearts are heavy for the victims of the sj crash earthquake in sulawesi landslide in sumedang and floodi…","neutral","positive"
"18","<U+0001F60D>need mascot logo for twitchchannel

<U+0001F449>visit here


…","neutral","positive"
"19","<U+0001F60D>need mascot logo for twitchchannel

<U+0001F449>visit here


…","neutral","positive"
"20","<U+0001F60D>need mascot logo for twitchchannel

<U+0001F449>visit here


…","neutral","positive"
"21","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"22","indonesia 

awaking in us to terribly sad news an indonesian jetliner has crashed into the java sea after takeoff more…","sadness","negative"
"23","sriwijaya air flight sj the search for answers","neutral","negative"
"24","american airplane giant boeing has said that its technical experts are assisting with investigation in last week’s…","neutral","negative"
"25","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"26","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"27","and it made a very loud sound of explosion that sound traumatized my sis because of the sj incident a few days…","neutral","negative"
"28","sriwijaya air flight sj the search for answers","neutral","negative"
"29","blackbox confirms both engines on indonesian jet sj were working when it smashed into the sea last week as my…","neutral","negative"
"30","the search for answers on sriwijaya air flight sj","neutral","negative"
"31","<U+26A1><U+FE0F> “the search for answers on sriwijaya air flight sj” by","neutral","negative"
"32","indonesian flight sj missing after take off today from jakartamy prayers with the crew members and the passeng…","neutral","negative"
"33","lets get a moment to pray
indonesia is not good condition 
the beginning ofwe greeted the news about accidents and d…","joy","neutral"
"34","i hope indonesia national transport will find the second black boxconversation inside the cockpit between pilot…","neutral","neutral"
"35","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"36","breaking sriwijaya sj cockpit voice recorder components found but memory storage module is still missing lets hope it…","neutral","positive"
"37","investigators are combing the sea bed for an explanation as to why sriwijayaairsj plunged into the java sea …","anger","positive"
"38","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"39","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"40","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"41","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"42","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"43","the search for answers on sriwijaya air flight sj
sriwijayaair flightsj
aviation","neutral","negative"
"44","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"45","<U+0001F1EE><U+0001F1E9> flight sj <U+0001F1EE><U+0001F1E9>

black box data downloaded

<U+0001F4E2> rt sriwijayaair sj","neutral","negative"
"46","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"47","thats why have a safe flight have a safe ride take care of yourself have a good night or i love you means so muc…","joy","positive"
"48","sending our prayers to the passengers and families of sj to all those affected by flood on south kalimantan e…","neutral","positive"
"49","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"50","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"51","<U+0001F195> avtalk ep— we discuss the crash of sj covid’s continuing impacts on aviation norwegian’s move away from lo…","joy","positive"
"52","twplane crash

lets have a moment to send our prayers to all the crews and passengers for the lost of sriwijaya air…","neutral","neutral"
"53","hey indonesia it would be ok eventually 
we are strong god speed <U+0001F64F>
sj
westjavaavalanche
westsulawesiearthquake 
sout…","sadness","positive"
"54","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"55","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"56","we are sending our prayers and deepest condolences to the families of the victims of sriwijaya flight sj may their souls…","neutral","negative"
"57","new video of sj","neutral","positive"
"58","lets get a moment to pray
indonesia is not good condition 
the beginning ofwe greeted the news about accidents and d…","joy","neutral"
"59","admin 

we are here to send our deepest condolences and prayers to the families of the passengers and the crew…","neutral","negative"
"60","hey indonesia it would be ok eventually 
we are strong god speed <U+0001F64F>
sj
westjavaavalanche
westsulawesiearthquake 
sout…","sadness","positive"
"61","lets get a moment to pray
indonesia is not good condition 
the beginning ofwe greeted the news about accidents and d…","joy","neutral"
"62","my heart grieves and hurts for my country <U+0001F1F2><U+0001F1E8> <U+0001F494>

so much happened in this earlyeither its good or bad things everything…","joy","neutral"
"63","our first new avtalk episode of the year — we review what we know about the crash of sj in indonesia boeing’s defer…","neutral","positive"
"64","hey indonesia it would be ok eventually 
we are strong god speed <U+0001F64F>
sj
westjavaavalanche…","sadness","positive"
"65","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
"66","sending our prayers to the passengers and families of sj everyone affected by the landslide in sumedang earthquake in…","neutral","positive"
