"","x"
"1","Sriwijaya Air flight SJ182: The search for answers https://t.co/cg35YCpjPu"
"2","The search for answers on Sriwijaya Air Flight SJ182  https://t.co/IMnSFPlbJI"
"3","14/1/2021

CN 235-220 MPA from Indonesian Navy #TNIAL 800th Squadron flying low near KRI Semarang (594) to help… https://t.co/jGGXbVXOr3"
"4","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"5","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"6","RT @itskaytobeyou: That jacket! <U+0001F494><U+0001F62D> #SriwijayaAir #SJ182 https://t.co/qVTJTWLcJX"
"7","RT @flightradar24: Our first new AvTalk episode of the year — we review what we know about the crash of #SJ182 in Indonesia, Boeing’s defer…"
"8","RT @thetaeprint: Trigger Warning// Plane crash 

Sending our prayers and deepest condolences to the passengers and crew of #SJ182, as well…"
"9","There isn't any word to say, just wanna better condition for my beloved Indonesia.
#SJ182 
#PrayforKalSel… https://t.co/JrZUCxtiAv"
"10","RT @hyewontology: 1. TW // Plane crash 

As we all know recently on the 9th of Jan Sriwijaya Air with flight number SJ182 lost contact four…"
"11","RT @indomostviral: Full video ramalan mbak you november 2020 - 2021 : https://t.co/GFBlu9PGUW

#SJ182 #PrayForSJ182 #PrayForSriwijaya"
"12","RT @hyewontology: 1. TW // Plane crash 

As we all know recently on the 9th of Jan Sriwijaya Air with flight number SJ182 lost contact four…"
"13","https://t.co/TuhgOIUAmR
#sneeuw #SJ182 #sjy182 #cdupt21 #HandeErcel #FenerbahceMESUToluyor 
Look like comment and s… https://t.co/arA8Jfup6H"
"14","The search for answers on Sriwijaya Air Flight SJ182  https://t.co/JJfVfZtDrc"
"15","RT @designernayima2: <U+0001F60D>Need Mascot #logo for #twitch/channel?

<U+0001F449>Visit here
https://t.co/rizNLfWlqM

@StreamAcademyRT
@SmallStreamersR
@SGH_R…"
"16","RT @ArmWC_INA: Sending our prayers to the passengers and families of #SJ182, everyone affected by the landslide in Sumedang, earthquake in…"
"17","RT @EnglishTips4U: Our hearts are heavy for the victims of the #SJ182 crash, earthquake in Sulawesi, landslide in Sumedang, and flooding in…"
"18","RT @OhSehunGlobal: TW // Plane Crash

We have cancelled today's hashtag trending for Sehun's Debut Anniversary to pay respect to victims of…"
